UWI,Well,UBHI,Borehole name,State,Jurisdiction,Offshore,Basin,Sub-basin,Latitude,Longitude,Legislation,Title,Well operator,Borehole operator,Borehole reason,Class,Structure,Seismic location,Drilled by,Rigs,Spud/Kick off date,TD Date,Rig release date,Start depth (m),Driller's TD (m),Oil show,Gas show,Condensate show,Oil field,Discovery well,Status,Well head,Basic relevant date
W005895,Abalone  1,W005895,Abalone  1,NT,Commonwealth,Y,Browse,Caswell Sub-basin,-13.122655,123.19021,,,,,,NFW,,,Diamond Offshore Company,,4/09/2000,,24/11/2000,,,,,,,,,,
W000019,Abbarwardoo 1,W000019,Abbarwardoo 1,WA,State,N,Perth,Dandaragan Trough,-28.584869,115.161167,PSSA59,PE-27H,West Australian Petroleum Pty Limited,,,STR,Fault Trap,,Geophysical Service Inc,Geol SI Mayhew 2000,12/12/1962,20/12/1962,20/12/1962,0,600,L0 Nil,G0 Nil,,,,P&A STR,N,20/06/1963
W001778,Abduls Dam 1,W001778,Abduls Dam 1,WA,State,N,Northern Carnarvon,Barrow Sub-basin,-21.949297,114.830121,PA67,EP 110 R2,Pan Pacific Petroleum NL,,,NFW,Fault Trap,PP90A-201  SP 480,Petro Supply Pty Ltd,Petro Services Rig   2,18/08/1991,2/09/1991,4/09/1991,0,770,L0 Nil,G0 Nil,,,,P&A,N,4/10/1993
W001070,Abutilon 1,W001070,Abutilon 1,WA,State,N,Canning,Barbwire Terrace,-19.453597,125.117961,PA36,EP 143,Western Mining Corporation Ltd,,,STR,Four-way dip closure,,Rockdrill Contractors Pty Ltd,Rockdrill Longyear 55,2/07/1981,12/08/1981,17/08/1981,0,850.3,L0 Nil,G0 Nil,,,,P&A STR,N,27/07/1987
W001071,Acacia 1,W001071,Acacia 1,WA,State,N,Canning,Barbwire Terrace,-19.329229,124.995583,PA67,EP 143,Western Mining Corporation Ltd,,,STR,Anticline,Intersection Lines 72-6 & 74-8,Rockdrill Contractors Pty Ltd,Rockdrill Longyear 55,19/08/1981,15/09/1981,20/09/1981,0,1208.7,L2 Fair,G1 Poor,,,,P&A STR,N,5/11/1987
W001177,Acacia 2,W001177,Acacia 2,WA,State,N,Canning,Barbwire Terrace,-19.329709,124.995461,PA67,EP 143,Western Mining Corporation Ltd,,,NFW,Anticline,,ATCO - APM Drilling Pty Ltd,ATCO - APM National 610,2/06/1982,6/07/1982,9/07/1982,0,1575,L2 Fair,G1 Poor,,,,P&A OS,N,29/12/1987
W003170,Achilles 1,W003170,Achilles 1,WA,Commonwealth,Y,Northern Carnarvon,Investigator Sub-basin,-20.215223,114.537141,OPA06,WA-374-P,Chevron Australia Pty Ltd,,,NFW,,,ENSCO Offshore Company,ENSCO 7500,24/07/2009,17/09/2009,4/10/2009,0,4533,,G4 Excellent,,Achilles,Y,P&A GS,N,4/10/2011
W003230,Acme 1,W003230,Acme 1,WA,Commonwealth,Y,Northern Carnarvon,Investigator Sub-basin,-20.207527,114.81915,OPA06,WA-205-P R3,Chevron Australia Pty Ltd,,,NFW,,Acme 3D inline 2046 xline 2065,Atwood Oceanics Australia Pty Ltd,Atwood Eagle,18/06/2010,13/07/2010,26/07/2010,0,4715,,G4 Excellent,,,,P&A GS,N,26/07/2012
W003303,Acme West 1,W003303,Acme West 1,WA,Commonwealth,Y,Northern Carnarvon,Investigator Sub-basin,-20.204243,114.799082,OPA06,WA-205-P R3,Chevron Australia Pty Ltd,,,NFW,,Acme 3D MSS,Atwood Oceanics Australia Pty Ltd,Atwood Eagle,27/07/2011,7/09/2011,16/10/2011,0,4706,,,,,,P&A GS,N,18/10/2013
W003310,Acme West 2,W003310,Acme West 2,WA,Commonwealth,Y,Northern Carnarvon,Investigator Sub-basin,-20.204244,114.799081,OPA06,WA-205-P R3,Chevron Australia Pty Ltd,,,EXT,,,Atwood Oceanics Australia Pty Ltd,Atwood Eagle,14/09/2011,28/09/2011,16/10/2011,2162,4474,,,,,,P&A GC,N,18/10/2013
