well,borehole_name,offshore,basin,latitude,longitude,well_operator,borehole_operator,borehole_reason,well_class,drilled_by,rigs,spud_kick_off_date,td_date,rig_release_date,start_depth_m,drillers_td_m,oil_show,gas_show,condensate_show,oil_field,discovery_well,status,well_head,drilling_lengh,total_drilling_days,well_perfomance,year,drilling_sucess_level
Abalone  1,Abalone  1,Y,Browse,-13.122654999999998,123.19021,Missing info,Missing info,Missing info,NFW,Diamond Offshore Company,Missing info,2000-09-04,Missing info,2000-11-24,0.0,,0.0,0.0,0.0,Missing info,Missing info,Missing info,Missing info,0.0,81.0,0.0,2000,0.0
Abbarwardoo 1,Abbarwardoo 1,N,Perth,-28.584869,115.161167,West Australian Petroleum Pty Limited,Missing info,Missing info,OTHERS,Geophysical Service Inc,Geol SI Mayhew 2000,1962-12-12,20/12/1962,1962-12-20,0.0,600.0,0.0,0.0,0.0,Missing info,Missing info,PA,N,600.0,8.0,75.0,1962,0.0
Abduls Dam 1,Abduls Dam 1,N,Carnarvon,-21.949297,114.830121,Pan Pacific Petroleum NL,Missing info,Missing info,NFW,Petro Supply Pty Ltd,Petro Services Rig   2,1991-08-18,2/09/1991,1991-09-04,0.0,770.0,0.0,0.0,0.0,Missing info,Missing info,PA,N,770.0,17.0,45.294117647058826,1991,0.0
Abutilon 1,Abutilon 1,N,Canning,-19.453597,125.117961,Western Mining Corporation Ltd,Missing info,Missing info,OTHERS,Rockdrill Contractors Pty Ltd,Rockdrill Longyear 55,1981-07-02,12/08/1981,1981-08-17,0.0,850.3,0.0,0.0,0.0,Missing info,Missing info,PA,N,850.3,46.0,18.48478260869565,1981,0.0
Acacia 1,Acacia 1,N,Canning,-19.329229,124.995583,Western Mining Corporation Ltd,Missing info,Missing info,OTHERS,Rockdrill Contractors Pty Ltd,Rockdrill Longyear 55,1981-08-19,15/09/1981,1981-09-20,0.0,1208.7,2.0,1.0,0.0,Missing info,Missing info,PA,N,1208.7,32.0,37.771875,1981,3.0
Acacia 2,Acacia 2,N,Canning,-19.329709,124.995461,Western Mining Corporation Ltd,Missing info,Missing info,NFW,ATCO - APM Drilling Pty Ltd,ATCO - APM National 610,1982-06-02,6/07/1982,1982-07-09,0.0,1575.0,2.0,1.0,0.0,Missing info,Missing info,PA,N,1575.0,37.0,42.567567567567565,1982,3.0
Achilles 1,Achilles 1,Y,Carnarvon,-20.215223,114.537141,Chevron Australia Pty Ltd,Missing info,Missing info,NFW,ENSCO Offshore Company,ENSCO 7500,2009-07-24,17/09/2009,2009-10-04,0.0,4533.0,0.0,4.0,0.0,Achilles,Y,PA,N,4533.0,72.0,62.958333333333336,2009,4.0
Acme 1,Acme 1,Y,Carnarvon,-20.207527,114.81915,Chevron Australia Pty Ltd,Missing info,Missing info,NFW,Atwood Oceanics Australia Pty Ltd,Atwood Eagle,2010-06-18,13/07/2010,2010-07-26,0.0,4715.0,0.0,4.0,0.0,Missing info,Missing info,PA,N,4715.0,38.0,124.07894736842105,2010,4.0
Acme West 1,Acme West 1,Y,Carnarvon,-20.204243,114.799082,Chevron Australia Pty Ltd,Missing info,Missing info,NFW,Atwood Oceanics Australia Pty Ltd,Atwood Eagle,2011-07-27,7/09/2011,2011-10-16,0.0,4706.0,0.0,0.0,0.0,Missing info,Missing info,PA,N,4706.0,81.0,58.098765432098766,2011,0.0
Acme West 2,Acme West 2,Y,Carnarvon,-20.204244,114.799081,Chevron Australia Pty Ltd,Missing info,Missing info,EXT,Atwood Oceanics Australia Pty Ltd,Atwood Eagle,2011-09-14,28/09/2011,2011-10-16,2162.0,4474.0,0.0,0.0,0.0,Missing info,Missing info,PA,N,2312.0,32.0,72.25,2011,0.0
